"type","age","N"
"1","BREAST",60,17582
"2","BREAST",76,14032
"3","BREAST",70,15889
"4","BREAST",59,17297
"5","BREAST",65,18130
"6","BREAST",61,17558
"7","BREAST",45,13747
"8","BREAST",78,12600
"9","BREAST",67,16947
"10","BREAST",87,5127
"11","BREAST",68,16438
"12","BREAST",58,17413
"13","BREAST",88,4416
"14","BREAST",72,15488
"15","BREAST",69,16539
"16","BREAST",73,14936
"17","BREAST",54,16670
"18","BREAST",89,3644
"19","BREAST",77,13312
"20","BREAST",79,11864
"21","BREAST",81,10132
"22","BREAST",63,17354
"23","BREAST",64,17310
"24","BREAST",74,14640
"25","BREAST",46,14658
"26","BREAST",55,16877
"27","BREAST",80,11013
"28","BREAST",66,17181
"29","BREAST",37,5183
"30","BREAST",50,17081
"31","BREAST",51,16788
"32","BREAST",83,8551
"33","BREAST",52,16610
"34","BREAST",62,17692
"35","BREAST",84,7686
"36","BREAST",85,6869
"37","BREAST",39,6769
"38","BREAST",56,16961
"39","BREAST",40,9019
"40","BREAST",42,10398
"41","BREAST",43,11329
"42","BREAST",75,14213
"43","BREAST",53,16757
"44","BREAST",41,9424
"45","BREAST",71,15590
"46","BREAST",91,2351
"47","BREAST",90,2809
"48","BREAST",86,6002
"49","BREAST",47,15534
"50","BREAST",57,16977
"51","BREAST",82,9382
"52","BREAST",95,802
"53","BREAST",48,16129
"54","BREAST",94,1159
"55","BREAST",92,1820
"56","BREAST",93,1455
"57","BREAST",97,405
"58","BREAST",49,16514
"59","BREAST",35,4018
"60","BREAST",98,292
"61","BREAST",96,563
"62","BREAST",99,199
"63","BREAST",44,12331
"64","BREAST",101,66
"65","BREAST",34,3117
"66","BREAST",38,5889
"67","BREAST",33,2584
"68","BREAST",31,1863
"69","BREAST",36,4543
"70","BREAST",32,2202
"71","BREAST",27,641
"72","BREAST",24,231
"73","BREAST",30,1447
"74","BREAST",26,458
"75","BREAST",28,886
"76","BREAST",29,1124
"77","BREAST",20,27
"78","BREAST",23,143
"79","BREAST",25,320
"80","BREAST",107,9
"81","BREAST",22,90
"82","BREAST",100,122
"83","BREAST",999,42
"84","BREAST",19,25
"85","BREAST",15,7
"86","BREAST",103,30
"87","BREAST",14,4
"88","BREAST",21,53
"89","BREAST",102,47
"90","BREAST",108,3
"91","BREAST",106,12
"92","BREAST",17,11
"93","BREAST",104,18
"94","BREAST",13,2
"95","BREAST",18,16
"96","BREAST",105,9
"97","BREAST",10,1
"98","BREAST",12,2
"99","BREAST",16,4
"100","BREAST",2,1
"101","BREAST",11,1
"102","COLRECT",83,11997
"103","COLRECT",80,14001
"104","COLRECT",78,15264
"105","COLRECT",75,15730
"106","COLRECT",70,14982
"107","COLRECT",81,13540
"108","COLRECT",77,15259
"109","COLRECT",85,9881
"110","COLRECT",87,7801
"111","COLRECT",65,13295
"112","COLRECT",69,14749
"113","COLRECT",74,15737
"114","COLRECT",71,15184
"115","COLRECT",67,14079
"116","COLRECT",86,8772
"117","COLRECT",73,15731
"118","COLRECT",72,15428
"119","COLRECT",93,2209
"120","COLRECT",79,14645
"121","COLRECT",82,12619
"122","COLRECT",68,14138
"123","COLRECT",49,4429
"124","COLRECT",55,7655
"125","COLRECT",61,10875
"126","COLRECT",90,4469
"127","COLRECT",88,6759
"128","COLRECT",63,11874
"129","COLRECT",57,8644
"130","COLRECT",84,11060
"131","COLRECT",98,356
"132","COLRECT",53,6743
"133","COLRECT",89,5675
"134","COLRECT",66,13481
"135","COLRECT",56,8181
"136","COLRECT",59,9868
"137","COLRECT",64,12301
"138","COLRECT",45,2865
"139","COLRECT",92,2961
"140","COLRECT",60,10436
"141","COLRECT",91,3714
"142","COLRECT",102,62
"143","COLRECT",76,15779
"144","COLRECT",58,9187
"145","COLRECT",105,6
"146","COLRECT",95,1245
"147","COLRECT",96,855
"148","COLRECT",62,11175
"149","COLRECT",94,1689
"150","COLRECT",47,3651
"151","COLRECT",54,7199
"152","COLRECT",41,1801
"153","COLRECT",48,4059
"154","COLRECT",52,6282
"155","COLRECT",51,6105
